文本ID,简体中文,繁体中文,英文,俄语,西班牙语西班牙,葡萄牙语巴西,德语,日语,法语,波兰语,韩语,土耳其语,西班牙语拉丁美洲,乌克兰语,意大利语,捷克语,葡萄牙语葡萄牙,匈牙利语
11,需要先移走摆件上的所有蘑菇才可以收起摆件,需要先移走擺件上的所有蘑菇才可以收起擺件,You must remove all mushrooms from the ornament before storing it.,"Перед тем как убрать украшение, необходимо убрать с него все грибы.",Debes quitar todos los hongos del adorno antes de guardarlo.,É necessário remover todos os cogumelos do enfeite antes de guardá-lo.,"Bevor du die Dekoration wegräumen kannst, musst du alle Pilze davon entfernen.",飾りをしまう前に、その上にあるキノコをすべて取り除く必要があります。,Vous devez retirer tous les champignons de l’ornement avant de le ranger.,"Aby schować ozdobę, musisz najpierw usunąć z niej wszystkie grzyby.",장식품을 수거하기 전에 그 위에 있는 모든 버섯을 먼저 제거해야 합니다.,Süs eşyasını kaldırmadan önce üzerindeki tüm mantarları çıkarmalısınız.,Debes quitar todos los hongos del adorno antes de guardarlo.,"Перш ніж прибрати прикрасу, потрібно зняти з неї всі гриби.",Devi rimuovere tutti i funghi dall’oggetto decorativo prima di riporlo.,Před uložením dekorace je třeba z ní odstranit všechny houby.,É necessário remover todos os cogumelos do ornamento antes de o guardar.,"Minden gombát le kell szedni a díszítésről, mielőtt elrakhatod."
12,你的电脑已经搬进了大自然！快到桌面看看吧！,你的電腦已經搬進了大自然！快到桌面看看吧！,Your computer has moved into nature! Go to the desktop and take a look!,Ваш компьютер переместился в природу! Поспешите на рабочий стол и посмотрите!,¡Tu ordenador se ha mudado a la naturaleza! ¡Ve al escritorio y echa un vistazo!,Seu computador se mudou para a natureza! Vá para a área de trabalho e dê uma olhada!,Ihr Computer ist in die Natur gezogen! Gehen Sie schnell zum Desktop und schauen Sie nach!,あなたのコンピューターが自然の中に引っ越しました！デスクトップをすぐに見てください！,Votre ordinateur a déménagé dans la nature ! Rendez-vous sur le bureau pour voir !,Twój komputer przeniósł się do natury! Pospiesz się na pulpit i spójrz!,당신의 컴퓨터가 자연 속으로 이동했습니다! 바탕 화면으로 가서 확인하세요!,Bilgisayarınız doğaya taşındı! Masüstüne gidin ve bir göz atın!,¡Tu computadora se ha mudado a la naturaleza! ¡Ve al escritorio y échale un vistazo!,Ваш комп'ютер переїхав у природу! Поспішайте на робочий стіл і подивіться!,Il tuo computer si è trasferito nella natura! Vai alla scrivania e dai un'occhiata!,Váš počítač se přestěhoval do přírody! Pospěšte si na plochu a podívejte se!,O seu computador mudou-se para a natureza! Vá para o ambiente de trabalho e dê uma vista de olhos!,A számítógéped a természetbe költözött! Siess az asztalra és nézz körül
13,禁用鼠标滚屏,禁用滑鼠滾屏,Disable mouse edge scrolling,Отключить прокрутку краем мыши,Desactivar desplazamiento con el ratón en borde,Desativar rolagem com mouse nas bordas,Maus-Bildlauf an Kanten deaktivieren,マウスエッジスクロールを無効にする,Désactiver le défilement au bord de l'écran avec la souris,Wyłącz przewijanie krawędzią myszy,마우스 가장자리 스크롤 비활성화,Fare kenar kaydırmayı devre dışı bırak,Desactivar desplazamiento con el ratón en el borde,Вимкнути прокручування краєм миші,Disabilita lo scorrimento con il mouse sui bordi,Zakázat posouvání okrajem myši,Desativar rolagem com rato nas bordas,Egér peremgörgetés letiltása
14,删除存档,刪除存檔,Delete Save,Удалить сохранение,Borrar partida,Excluir salvar,Speicherstand löschen,セーブデータを削除,Supprimer sauvegarde,Usuń zapis,저장 삭제,Kaydı sil,Borrar partida,Видалити збереження,Elimina salvataggio,Smazat uložení,Apagar gravação,Mentés törlése
15,重置场景,重置場景,Reset Scene,Сброс сцены,Restablecer escena,Redefinir cena,Szene zurücksetzen,シーンをリセット,Réinitialiser scène,Resetuj scenę,장면 초기화,Sahneyi sıfırla,Restablecer escena,Скинути сцену,Ripristina scena,Obnovit scénu,Repor cena,Jelenet visszaállítása
17,获取Log,取得Log,Get Log,Получить журнал,Obtener registro,Obter log,Protokoll holen,ログを取得,Obtenir journal,Pobierz log,로그 가져오기,Log al,Obtener registro,Отримати журнал,Ottenere log,Získat záznam,Obter registo,Log letöltése
18,制作成员,製作成員,Staff,Команда,Equipo,Equipe,Mitarbeiter,スタッフ,Équipe,Zespół,제작진,Ekip,Equipo,Команда,Staff,Manažerský tým,Equipa,Személyzet
19,制作人,製作人,Producer,Продюсер,Productor,Produtor,Produzent,プロデューサー,Producteur,Producent,프로듀서,Yapımcı,Productor,Продюсер,Produttore,Producent,Vendedor,Producer
20,美术,美術,Art,Художник,Arte,Arte,Künstler,アート,Art,Sztuka,아트,Sanat,Arte,Художник,Arte,Umení,Arte,Művészet
21,程序,程式,Programmer,Программист,Programador,Programador,Programmierer,プログラマー,Programmeur,Programista,프로그래머,Programcı,Programador,Програміст,Programmatore,Programátor,Programador,Programozó
22,音乐,音樂,Music,Музыка,Música,Música,Musik,音楽,Musique,Muzyka,음악,Müzik,Música,Музика,Musica,Hudba,Música,Zene
23,保存退出,保存退出,Save & Exit,Сохранить и выйти,Guardar y salir,Salvar e sair,Speichern & Beenden,保存して終了,Enregistrer et quitter,Zapisz i wyjdź,저장 및 종료,Kaydet ve çık,Guardar y salir,Зберегти і вийти,Salva ed esci,Uložit a ukončit,Guardar e sair,Mentés és kilépés
24,确定,確定,Confirm,Подтвердить,Confirmar,Confirmar,Bestätigen,確認,Confirmer,Potwierdź,확인,Onayla,Confirmar,Підтвердити,Conferma,Potvrdit,Confirmar,Megerősít
25,亲爱的玩家,親愛的玩家,Dear players,Уважаемые игроки,Queridos jugadores,Caros jogadores,Liebe Spieler,親愛なるプレイヤーの皆さん,Chers joueurs,Drodzy gracze,친애하는 플레이어 여러분,Sevgili oyuncular,Queridos jugadores,Шановні гравці,Cari giocatori,Vážení hráči,Caros jogadores,Kedves játékosok
26,游戏还在测试中，请假装看不到Bug！喜欢请添加愿望单支持我们，感谢您的游玩！\n\n,遊戲還在測試中，請假裝看不到Bug！喜歡請加入願望清單支持我們，感謝您的遊玩！,"The game is still in testing — please pretend you don't see any bugs! If you like it, please add it to your wishlist to support us. Thank you for playing!","Игра ещё в тестировании — пожалуйста, делайте вид, что не замечаете баги! Если вам нравится, добавьте игру в список желаний, чтобы поддержать нас. Спасибо за игру!","El juego aún está en pruebas — ¡haz como que no ves los bugs! Si te gusta, añádelo a tu lista de deseos para apoyarnos. ¡Gracias por jugar!","O jogo ainda está em teste — finja que não vê os bugs! Se gostar, adicione à lista de desejos para nos apoiar. Obrigado por jogar!","Das Spiel befindet sich noch im Test — tut so, als würdet ihr die Bugs nicht sehen! Wenn es euch gefällt, unterstützt uns bitte, indem ihr es auf eure Wunschliste setzt. Danke fürs Spielen!",ゲームはまだテスト中です。バグは見なかったことにしてくださいね！気に入ったら、ウィッシュリストに追加して私たちをサポートしてください。プレイしてくれてありがとう！,"Le jeu est encore en test — faites comme si vous ne voyiez pas les bugs ! Si vous aimez, ajoutez-le à votre liste de souhaits pour nous soutenir. Merci d'avoir joué !","Gra jest jeszcze w fazie testów — udawaj, że nie widzisz błędów! Jeśli ci się podoba, dodaj ją do listy życzeń, aby nas wesprzeć. Dzięki za grę!",게임은 아직 테스트 중입니다. 버그는 못 본 척 해주세요! 즐기신다면 위시리스트에 추가해 우리를 응원해 주세요. 플레이해 주셔서 감사합니다!,"Oyun hâlâ test aşamasında — lütfen hataları görmüyormuş gibi yapın! Beğendiyseniz, bizi desteklemek için istek listenize ekleyin. Oynadığınız için teşekkürler!","El juego aún está en prueba — ¡haz como que no ves los errores! Si te gusta, añádelo a tu lista de deseos para apoyarnos. ¡Gracias por jugar!","Гра ще в тестуванні — будь ласка, вдавайте, що не бачите багів! Якщо сподобалося, додайте в список бажань, щоб підтримати нас. Дякуємо за гру!","Il gioco è ancora in fase di test — fate finta di non vedere i bug! Se vi piace, aggiungetelo alla lista dei desideri per sostenerci. Grazie per aver giocato!","Hra je stále ve zkušebním provozu — předstírejte, že nevidíte chyby! Pokud se vám líbí, podpořte nás přidáním do seznamu přání. Děkujeme, že hrajete!","O jogo ainda está em testes — finja que não vê os bugs! Se gostar, adicione à lista de desejos para nos apoiar. Obrigado por jogar!","A játék még tesztelés alatt áll — kérjük, tettessék, hogy nem látják a bugokat! Ha tetszik, tegyék a kívánságlistájukra, hogy támogassanak minket. Köszönjük, hogy játszanak!"
27,长按,長按,Long Press,Долгое нажатие,Mantener pulsado,Pressione longa,Lang drücken,長押し,Appui long,Długie naciśnięcie,길게 누르기,Uzun bas,Mantener pulsado,Довге натискання,Pressione lunga,Dlouhé stisknutí,Pressione longa,Hosszú lenyomás
28,始终置顶,始終置頂,Always on Top,Поверх всех окон,Siempre visible,Sempre no topo,Immer im Vordergrund,常に最前面に表示,Toujours au premier plan,Zawsze na wierzchu,항상 위에 유지,Her zaman üstte,Siempre visible,Завжди зверху,Sempre in primo piano,Vždy navrchu,Sempre no topo,Mindig előtérben
29,位置调整,位置調整,Position Adjustment,Настройка положения,Ajuste de posición,Ajuste de posição,Position anpassen,位置調整,Ajustement de la position,Dostosowanie pozycji,위치 조정,Konum ayarı,Ajuste de posición,Налаштування положення,Regolazione posizione,Úprava polohy,Ajuste de posição,Pozíció beállítása
30,昼/夜,晝/夜,Day/Night,День/Ночь,Día/Noche,Dia/Noite,Tag/Nacht,昼/夜,Jour/Nuit,Dzień/Noc,낮/밤,Gündüz/Gece,Día/Noche,День/Ніч,Giorno/Notte,Den/Noc,Dia/Noite,Nappal/Éjszaka
31,自动循环,自動循環,Auto Cycle,Автоматический цикл,Ciclo automático,Ciclo automático,Automatischer Wechsel,自動切り替え,Cycle automatique,Automatyczny cykl,자동 순환,Otomatik döngü,Ciclo automático,Автоматичний цикл,Ciclo automatico,Automatické střídání,Ciclo automático,Automatikus váltás
32,切换场景,切換場景,Switch Scene,Сменить сцену,Cambiar escena,Trocar cena,Szene wechseln,シーン切り替え,Changer de scène,Zmień scenę,장면 전환,Sahne değiştir,Cambiar escena,Змінити сцену,Cambia scena,Přepnout scénu,Mudar cena,Jelenet váltás
33,背景开关,背景開關,Background Toggle,Вкл/Выкл фона,Activar/desactivar fondo,Ativar/desativar fundo,Hintergrund ein/aus,背景オン/オフ,Activer/désactiver l'arrière-plan,Włącz/wyłącz tło,배경 켜기/끄기,Arka plan aç/kapat,Activar/desactivar fondo,Увімкнути/вимкнути фон,Attiva/disattiva sfondo,Zapnout/vypnout pozadí,Ativar/desativar fundo,Háttér ki/be
34,提交Log,提交Log,Submit Log,Отправить лог,Enviar registro,Enviar log,Log senden,ログを送信,Envoyer le journal,Wyślij log,로그 제출,Günlük gönder,Enviar registro,Надіслати звіт,Invia log,Odeslat log,Enviar log,Napló küldése
35,单曲循环,單曲循環,Loop One,Повтор одной,Repetir una,Repetir uma,Einzeltitel wiederholen,1曲リピート,Répéter une seule,Powtórz jeden,한 곡 반복,Tekrarlı tek parça,Repetir una,Повторення однієї,Ripeti uno,Opakovat jednu,Repetir uma,Egy szám ismétlése
36,白噪音,白噪音,White Noise,Белый шум,Ruido blanco,Ruído branco,Weißes Rauschen,ホワイトノイズ,Bruit blanc,Biały szum,백색 소음,Beyaz gürültü,Ruido blanco,Білий шум,Rumore bianco,Bílý šum,Ruído branco,Fehér zaj
37,氛围,氛圍,Atmosphere,Атмосфера,Ambiente,Atmosfera,Atmosphäre,雰囲気,Ambiance,Atmosfera,분위기,Atmosfer,Ambiente,Атмосфера,Atmosfera,Atmosféra,Atmosfera,Hangulat
38,制作组,製作組,Credits,Разработчики,Créditos,Créditos,Credits,スタッフ,Crédits,Twórcy,크레딧,Yapımcılar,Créditos,Розробники,Crediti,Autoři,Créditos,Készítők
39,指南手册,指南手冊,Guide,Руководство,Guía,Guia,Handbuch,ガイド,Guide,Poradnik,가이드,Kılavuz,Guía,Довідник,Guida,Průvodce,Guia,Útmutató
40,语言,語言,Language,Язык,Idioma,Idioma,Sprache,言語,Langue,Język,언어,Dil,Idioma,Мова,Lingua,Jazyk,Idioma,Nyelv
41,切换显示器,切換顯示器,Switch Monitor,Переключение монитора,Cambiar monitor,Trocar monitor,Monitor wechseln,モニター切り替え,Changer de moniteur,Przełącz monitor,모니터 전환,Monitör değiştir,Cambiar monitor,Перемикання монітора,Cambia monitor,Přepnout monitor,Mudar monitor,Monitor váltás
42,随机发生,隨機發生,Random Occurrence,Случайное возникновение,Ocurrencia aleatoria,Ocorrência aleatória,Zufälliges Auftreten,ランダム発生,Occurrence aléatoire,Losowe występowanie,랜덤 발생,Rastgele oluşum,Ocurrencia aleatoria,Випадкова поява,Occasione casuale,Náhodný výskyt,Ocorrência aleatória,Véletlenszerű előfordulás
43,萤火虫,螢火蟲,Fireflies,Светлячки,Luciérnagas,Vagalumes,Glühwürmchen,蛍,Lucioles,Świetliki,반딧불이,Ateş böcekleri,Luciérnagas,Світлячки,Lucciole,Světlušky,Vaga-lumes,Szentjánosbogarak
44,丁达尔光效,丁達爾光效,Tyndall Effect,Эффект Тиндаля,Efecto Tyndall,Efeito Tyndall,Tyndall-Effekt,ティンダル効果,Effet Tyndall,Efekt Tyndalla,틴들 효과,Tyndall etkisi,Efecto Tyndall,Ефект Тіндаля,Effetto Tyndall,Tyndallův efekt,Efeito Tyndall,Tyndall-effektus
45,允许自动触发,允許自動觸發,Allow Auto Trigger,Разрешить автосрабатывание,Permitir activación automática,Permitir ativação automática,Automatische Auslösung erlauben,自動トリガーを許可,Autoriser le déclenchement automatique,Zezwalaj na automatyczne wyzwalanie,자동 트리거 허용,Otomatik tetiklemeye izin ver,Permitir activación automática,Дозволити автоматичний запуск,Consenti attivazione automatica,Povolit automatické spuštění,Permitir ativação automática,Automatikus indítás engedélyezése
46,触发1次,觸發1次,Trigger Once,Сработать один раз,Activar una vez,Ativar uma vez,Einmal auslösen,1回トリガー,Déclencher une fois,Wyzwól raz,1회 트리거,Bir kez tetikle,Activar una vez,Запустити один раз,Attiva una volta,Spustit jednou,Ativar uma vez,Egyszeri indítás
47,持续进行,持續進行,Continuous,Постоянно,Continuo,Contínuo,Fortlaufend,継続的に,Continu,Ciągły,지속 진행,Sürekli,Continuo,Безперервно,Continuo,Průběžně,Contínuo,Folyamatos
48,程度,程度,Intensity,Интенсивность,Intensidad,Intensidade,Intensität,強さ,Intensité,Intensywność,강도,Yoğunluk,Intensidad,Інтенсивність,Intensità,Intenzita,Intensidade,Intenzitás
49,随机程度,隨機程度,Random Intensity,Случайная интенсивность,Intensidad aleatoria,Intensidade aleatória,Zufällige Intensität,ランダムな強さ,Intensité aléatoire,Losowa intensywność,랜덤 강도,Rastgele yoğunluk,Intensidad aleatoria,Випадкова інтенсивність,Intensità casuale,Náhodná intenzita,Intensidade aleatória,Véletlenszerű intenzitás
50,获得的蘑菇已在园中了！到处找找吧！,獲得的蘑菇已在園中了！到處找找吧！,The mushroom you obtained is now in your garden! Go look around!,Полученный гриб уже в саду! Поищите вокруг!,¡El hongo obtenido ya está en tu jardín! ¡Búscalo por ahí!,O cogumelo obtido já está no jardim! Procure por aí!,Der erhaltene Pilz ist jetzt in deinem Garten! Such ihn dir!,手に入れたキノコは庭にいるよ！探してみてね！,Le champignon obtenu est dans votre jardin ! Cherchez-le !,Zdobyty grzyb jest już w ogrodzie! Rozejrzyj się!,획득한 버섯이 정원에 있어요! 여기저기 찾아보세요!,Elde ettiğin mantar bahçende! Hadi onu bul!,¡El hongo que obtuviste ya está en tu jardín! ¡Búscalo por ahí!,Отриманий гриб вже у саду! Шукайте його!,Il fungo ottenuto è nel tuo giardino! Cercalo in giro!,Získaná houba je už na zahradě! Hledejte ji!,O cogumelo obtido já está no jardim! Procure por aí!,A megszerzett gomba már a kertedben van! Nézz körbe!
51,园中蘑菇数量已达上限，可到“花园版块”中扩容！,園中蘑菇數量已達上限，可到「花園版塊」中擴容！,Mushroom limit reached in your garden. Go to the Garden section to expand!,"Достигнут лимит грибов в саду. Перейдите в раздел «Сад», чтобы расширить его!",¡Has alcanzado el límite de hongos en el jardín! Ve a la sección «Jardín» para ampliarlo.,"Limite de cogumelos no jardim atingido. Expanda na seção ""Jardim""!",Die maximale Anzahl an Pilzen im Garten ist erreicht. Erweitere sie im Bereich „Garten“!,庭のキノコの数が上限に達しました。「庭」セクションで拡張できます！,La limite de champignons dans le jardin est atteinte. Rendez-vous dans la section « Jardin » pour l’agrandir !,"Osiągnięto limit grzybów w ogrodzie. Przejdź do sekcji „Ogród”, aby go powiększyć!",정원의 버섯 수가 최대에 도달했습니다. '정원' 섹션에서 확장하세요!,"Bahçendeki mantar sayısı sınıra ulaştı! Genişletmek için ""Bahçe"" bölümüne git.","¡Alcanzaste el límite de hongos en el jardín! Ve a la sección ""Jardín"" para ampliarlo.","Досягнуто ліміту грибів у саду. Перейдіть у розділ «Сад», щоб розширити.","Limite di funghi raggiunto nel giardino. Vai alla sezione ""Giardino"" per espandere!","Limit hub v zahradě byl dosažen. Rozšiřte kapacitu v sekci ""Zahrada""!","Limite de cogumelos no jardim atingido. Expanda na secção ""Jardim""!","Elérted a gombák maximális számát a kertben. Bővítsd a ""Kert"" szekcióban!"
52,已收纳！可随时从图鉴中取出！,已收納！可隨時從圖鑑中取出！,Stored! You can take it out from the collection anytime!,Сохранено! Вы можете достать его из коллекции в любое время!,¡Guardado! Puedes sacarlo de la colección cuando quieras.,Guardado! Você pode retirá-lo da coleção a qualquer momento!,Aufbewahrt! Du kannst es jederzeit aus der Sammlung nehmen!,収納しました！図鑑からいつでも取り出せます！,Rangé ! Vous pouvez le sortir de la collection à tout moment !,Przechowano! Możesz go wyjąć z kolekcji w dowolnym momencie!,보관 완료! 언제든지 도감에서 꺼낼 수 있어요!,Saklandı! Dilediğin zaman koleksiyonundan çıkarabilirsin!,¡Guardado! Puedes sacarlo de la colección cuando quieras.,Збережено! Ви можете дістати його з колекції будь-коли.,Conservato! Puoi prelevarlo dalla collezione in qualsiasi momento!,Uloženo! Kdykoli ho můžeš vyndat z kolekce!,Guardado! Pode retirá-lo da coleção a qualquer momento!,Eltárolva! Bármikor előveheted a gyűjteményből!
53,没有库存！完全长成的蘑菇即可收纳到库存中，之后随时取出！,沒有庫存！完全長成的蘑菇即可收納到庫存中，之後隨時取出！,No stock! Fully grown mushrooms can be stored in your inventory and taken out anytime!,Нет в наличии! Полностью выросшие грибы можно сохранить в инвентарь и достать в любое время!,¡Sin existencias! Los hongos completamente desarrollados se pueden guardar en el inventario y sacarse cuando quieras.,Sem estoque! Cogumelos totalmente crescidos podem ser guardados no inventário e retirados a qualquer momento!,Kein Vorrat! Ausgewachsene Pilze können im Inventar aufbewahrt und jederzeit herausgenommen werden!,在庫なし！完全に育ったキノコは在庫に収納でき、後でいつでも取り出せます！,Pas de stock ! Les champignons complètement matures peuvent être rangés dans l'inventaire et sortis à tout moment !,Brak w magazynie! W pełni wyrośnięte grzyby można przechowywać w ekwipunku i w każdej chwili wyjąć!,재고 없음! 완전히 자란 버섯은 인벤토리에 보관했다가 언제든지 꺼낼 수 있어요!,Stokta yok! Tamamen büyümüş mantarları envanterine kaldırabilir ve dilediğin zaman çıkarabilirsin!,¡Sin existencias! Los hongos completamente desarrollados se pueden guardar en el inventario y sacarlos cuando quieras.,Немає в наявності! Повністю вирощені гриби можна зберігати в інвентарі та діставати будь-коли.,Nessuna scorta! I funghi completamente cresciuti possono essere conservati nell'inventario e prelevati in qualsiasi momento!,Žádné zásoby! Plně vzrostlé houby lze uložit do inventáře a kdykoli vyndat!,Sem stock! Cogumelos totalmente crescidos podem ser guardados no inventário e retirados a qualquer momento!,"Nincs készleten! A teljesen kifejlett gombák eltárolhatók a raktárban, és bármikor elővehetők!"
54,需要先移走摆件上的所有蘑菇才可回收摆件,需要先移走擺件上的所有蘑菇才可回收擺件,Remove all mushrooms from the decoration before recycling it.,"Сначала уберите все грибы с предмета, чтобы переработать его.",Primero debes quitar todos los hongos del adorno antes de reciclarlo.,Remova todos os cogumelos do item antes de reciclá-lo.,"Entferne alle Pilze von der Deko, bevor du sie recyceln kannst.",アイテムをリサイクルするには、まずそのアイテムにいるすべてのキノコを取り除いてください。,Retirez tous les champignons de l'objet avant de le recycler.,"Usuń wszystkie grzyby z dekoracji, zanim ją poddasz recyklingowi.",장식품을 재활용하려면 먼저 장식품 위에 있는 모든 버섯을 치워주세요.,Süslemeyi geri dönüştürmeden önce üzerindeki tüm mantarları çıkarmalısın.,Primero debes quitar todos los hongos del adorno antes de reciclarlo.,"Спочатку приберіть усі гриби з предмета, щоб переробити його.",Rimuovi tutti i funghi dall'oggetto prima di riciclarlo.,"Než dekoraci recykluješ, musíš z ní odstranit všechny houby.",Remova todos os cogumelos do item antes de o reciclar.,"Távolítsd el az összes gombát a díszről, mielőtt újrahasznosítanád."
55,重要提示,重要提示,Important Note,Важное примечание,Aviso importante,Aviso importante,Wichtiger Hinweis,重要なお知らせ,Avis important,Ważna uwaga,중요 알림,Önemli Uyarı,Aviso importante,Важливе повідомлення,Avviso importante,Důležité upozornění,Aviso importante,Fontos megjegyzés
56,毫无压力 - 放心，蘑菇们绝不会死亡~~！,毫無壓力 - 放心，蘑菇們絕不會死亡~~！,"No pressure – Don't worry, mushrooms never die~~!","Никакого стресса — не волнуйтесь, грибы никогда не умирают~~!",Sin preocupaciones: los hongos nunca mueren~~.,Sem estresse – os cogumelos nunca morrem~~!,"Kein Stress – Keine Sorge, Pilze sterben nie~~!",ノープレッシャー – キノコは絶対に枯れないから安心してね~~！,"Pas de pression – Pas d'inquiétude, les champignons ne meurent jamais~~ !",Bez stresu – grzyby nigdy nie umierają~~!,"스트레스 없음 – 안심하세요, 버섯은 절대 죽지 않아요~~!","Stres yok – Mantarlar asla ölmez, rahat ol~~!",Sin preocupaciones – los hongos nunca mueren~~.,"Жодного стресу – не хвилюйтеся, гриби ніколи не вмирають~~!",Nessuna pressione – I funghi non muoiono mai~~!,Bez stresu – Houby nikdy neumírají~~!,Sem stress – os cogumelos nunca morrem~~!,Semmi nyomás – A gombák soha nem halnak meg~~!
57,完全挂机 - 孢子存满后会持续掉落并被收集,完全掛機 - 孢子存滿後會持續掉落並被收集,Idle friendly – Spores keep dropping and being collected when full,Полностью автономно — споры продолжают выпадать и собираться при заполнении,Sin esfuerzo: las esporas siguen cayendo y se recolectan cuando están llenas.,Totalmente automático – os esporos continuam caindo e sendo coletados quando o estoque está cheio,Komplett im Hintergrund – Sporen werden weiterhin produziert und gesammelt,完全放置OK – 胞子がいっぱいになっても落ち続けて収集されるよ,Idle complet – Les spores continuent de tomber et d'être collectées une fois le stock plein,W pełni automatyczny – zarodniki spadają i są zbierane nawet po zapełnieniu,완전 방치형 – 포자가 가득 차도 계속 떨어지고 수집돼요,Tamamen otomatik – Dolduğunda bile sporlar düşmeye ve toplanmaya devam eder,Sin esfuerzo: las esporas siguen cayendo y se recolectan cuando están llenas.,Повністю автоматично — спори продовжують випадати та збиратися навіть при заповненні,Idle completo – Le spore continuano a cadere e vengono raccolte anche a pieno carico,Plně automatické – Spory padají i při plném skladu a sbírají se,Totalmente idle – os esporos continuam a cair e a ser recolhidos mesmo quando o stock está cheio,"Teljesen automatikus – A spórák folyamatosan hullanak és gyűlnek, még teljes kapacitásnál is"
